bar_place_id,bar_name,bar_vicinity,bar_lat,bar_lon,rank,stop_id,stop_code,stop_name,stop_lat,stop_lon,straight_line_m,walk_distance_m,walk_duration_s
ChIJIUyfSQ5bFkcRai-EfFLv7eg,"Antycafe - Bar, Pub & Multitap Kraków","Sławkowska 12, Kraków",50.06387350000001,19.9375776,5,stop_191_7739,,Teatr Bagatela,50.063755,19.932586,357,,
ChIJoe68lQ1bFkcR3SBmlDEUcvY,Apartamenty Gołębia 3,"Gołębia 3, Kraków",50.0604502,19.9354077,1,stop_219_32219,822-01,Filharmonia,50.05903,19.93387,192,,
ChIJoe68lQ1bFkcR3SBmlDEUcvY,Apartamenty Gołębia 3,"Gołębia 3, Kraków",50.0604502,19.9354077,2,stop_325_136029,821-02,Plac Wszystkich Świętych,50.059113,19.937497,211,,
ChIJoe68lQ1bFkcR3SBmlDEUcvY,Apartamenty Gołębia 3,"Gołębia 3, Kraków",50.0604502,19.9354077,3,stop_219_32239,822-03,Filharmonia,50.05917,19.9331,218,,
ChIJoe68lQ1bFkcR3SBmlDEUcvY,Apartamenty Gołębia 3,"Gołębia 3, Kraków",50.0604502,19.9354077,4,stop_325_136019,821-01,Plac Wszystkich Świętych,50.05912,19.93824,251,,
ChIJoe68lQ1bFkcR3SBmlDEUcvY,Apartamenty Gołębia 3,"Gołębia 3, Kraków",50.0604502,19.9354077,5,stop_219_32229,822-02,Filharmonia,50.058666,19.933001,262,,
ChIJEez9GWZbFkcRjSc_ic-sSR0,"Arcade Bee – Atrakcje, Restauracja i Cocktail Bar","Unity Centre, Aleksandra Lubomirskiego 24, Kraków",50.0676986,19.95822859999999,1,stop_203_12559,802-05,Rondo Mogilskie,50.066002,19.958722,192,,
ChIJEez9GWZbFkcRjSc_ic-sSR0,"Arcade Bee – Atrakcje, Restauracja i Cocktail Bar","Unity Centre, Aleksandra Lubomirskiego 24, Kraków",50.0676986,19.95822859999999,2,stop_203_12519,802-01,Rondo Mogilskie,50.065782,19.959639,236,,
ChIJEez9GWZbFkcRjSc_ic-sSR0,"Arcade Bee – Atrakcje, Restauracja i Cocktail Bar","Unity Centre, Aleksandra Lubomirskiego 24, Kraków",50.0676986,19.95822859999999,3,stop_203_12529,802-02,Rondo Mogilskie,50.065759,19.959864,245,,
ChIJEez9GWZbFkcRjSc_ic-sSR0,"Arcade Bee – Atrakcje, Restauracja i Cocktail Bar","Unity Centre, Aleksandra Lubomirskiego 24, Kraków",50.0676986,19.95822859999999,4,stop_203_12549,802-04,Rondo Mogilskie,50.064973,19.959357,314,,
ChIJEez9GWZbFkcRjSc_ic-sSR0,"Arcade Bee – Atrakcje, Restauracja i Cocktail Bar","Unity Centre, Aleksandra Lubomirskiego 24, Kraków",50.0676986,19.95822859999999,5,stop_203_12539,802-03,Rondo Mogilskie,50.064865,19.959303,324,,
