place_id,name,lat,lon,vicinity
ChIJtzstdCBbFkcRfBd2eOUiDxg,Piwnica,50.0621099,19.9419646,"Świętego Tomasza 31, Kraków"
ChIJrxSK-hJbFkcRIW_uLPqmx6M,Restauracja Taco Mexicano,50.0582432,19.9389058,"Poselska 20, Kraków"
ChIJHaD7DblaFkcR01DUCrrGCTY,"Sklep & Bar ""Przysmak""",50.093931,19.9893427,"Osiedle Oświecenia 46A, Kraków"
ChIJV_XzvQ1bFkcRzZFFbqQInD8,Still bar,50.060353,19.9352033,"Gołębia 8, Kraków"
ChIJ8W8oerpbFkcRiIbINxB6AWc,Akwarium. Klubokawiarnia,50.0717746,19.9085734,"Juliusza Lea 90a, Kraków"
ChIJL9W6FhJbFkcRprm2YjaT_js,Szoto,50.060601,19.9359357,"Bracka 3/5, Kraków"
ChIJaRxZ8mxbFkcRRBGXljy8sUs,Szklanki,50.0518806,19.9465487,"Jakuba 19, Kraków"
ChIJOYCBBRJbFkcRJG7USGlLnDc,Club Jaszczury,50.06083330000001,19.9383333,"Rynek Główny 8, Kraków"
ChIJDUd7nChbFkcRBMeFO0knvG0,Wine Barrel • Galeria Kazimierz,50.0547875,19.9551499,"Podgórska 34, Kraków"
ChIJHfLaQ7ZbFkcRH_Jmpxn2nD0,5th Avenue Restaurant & Lounge Bar,50.06459939999999,19.98210259999999,"Dąbska 5, Kraków"
ChIJBQtQDWxbFkcReUSwnhkIHjU,Fog House Pub & Grill,50.05223540000001,19.9382007,"Koletek 11, Kraków"
ChIJefu_NWVbFkcR4ytsqnsq3kg,Pierogarnia,50.08421120000001,19.9279657,"Józefa Wybickiego 8, Kraków"
ChIJtyTKHgBbFkcRp-m-AsELSn0,Bar a chat 🐱,50.0624094,19.9317597,"Podwale 3, Kraków"
ChIJ05r4LalbFkcRtu30UCpJTVg,Stara Piwnica cocktail&music bar,50.04835560000001,19.9453768,"Mostowa 2, Kraków"
ChIJAQDwBZlcFkcRCMeygjyApoQ,Sprawdzeni Barmani,50.0293734,19.9256024,"Wacława Lipińskiego 3/1, Kraków"
ChIJCSuQLStbFkcRe6215OlEZdk,belloVan,50.0678228,19.98695679999999,"Dąbska 26, Kraków"
ChIJDXDGhEtbFkcRVCQ0eSppJs0,Wódka Café Bar,50.0512305,19.9438734,"Beera Meiselsa 15, Kraków"
ChIJs4cLtalFFkcRuwmPKMbd7BE,"Beer & Darts "" Fortuna """,50.0958523,20.0651507,"Osiedle Na Wzgórzach 21, Kraków"
ChIJW97LZWpbFkcRm6BMJk8LI5c,BAR Królicze Oczy. Ogród Letni,50.0517555,19.9455727,"Estery 14, Kraków"
ChIJH_DXS2pbFkcRTAA_0bYZXbQ,Piękny Pies,50.04886320000001,19.944799,"plac Wolnica 9, Kraków"
ChIJ66XFDZlcFkcRLv2BpGek6m4,Bar Event Group - Barista Na Targi - Barmani Na Eventy - Mobilne Bary Kawowe - Mobilne Drink Bary,50.0293734,19.9256024,"Wacława Lipińskiego 3/1, Kraków"
ChIJm76ksXhbFkcReinGh-fkyjk,"Bar mleczny ""Pod Temidą""",50.0577852,19.9379461,"Grodzka 43, Kraków"
ChIJrYy35TZbFkcRROhvy1oukns,Pan Focaccia,50.05118419999999,19.9423633,"Krakowska 6, Kraków"
ChIJceQztH5bFkcR016ieSrvpcM,Baza Klub,50.04835560000001,19.9453768,"Mostowa 2, Kraków"
ChIJ9cssAz5FFkcRlwGvZ3rZdAU,Bar Majka,50.0777286,20.0304101,"11, Kraków"
ChIJBX58ylpbFkcR92BX70vCpm8,One More Burger. Smash Burgers. Street Food,50.04599690000001,19.9549445,"Na Zjeździe 6b, Kraków"
ChIJmRmpritbFkcRGQk5j1w75fA,Grillowe Smaki,50.0362565,19.939369,"Wadowicka 1A, Kraków"
ChIJOxPI51dbFkcRLn_N9Pljc-o,Barka Mauretania,50.0466642,19.946704,"Bulwar Kurlandzki 137/7, Kraków"
ChIJ75yBDqRbFkcRCB7P0HHv_dc,Brasserie L'Olympique,50.0647737,19.9395055,"Pijarska 13, Kraków"
ChIJ16qSNgVbFkcRQPB5tG549oc,Bistro Bar Filipa 18,50.06771699999999,19.9420033,"Świętego Filipa 18, Kraków"
ChIJSZ8LJwBbFkcRiZU_gd0LMdI,Bawietka,50.0481592,19.945902,"Mostowa 6, Kraków"
ChIJ_zIfgQNbFkcRn2yAm5L2jWU,Pub SPOKO Podgórze Kraków,50.04325739999999,19.9467799,"Kalwaryjska 9/15, Kraków"
ChIJW5aRJalFFkcRnoHc4_F79CU,Panorama Restoclub,50.0856424,20.0183946,"Generała Witolda Urbanowicza 4, Kraków"
ChIJK3zxKwBFFkcRcOqmu_6GI6U,Família Brazilian Bar,50.0621099,19.9419646,"Świętego Tomasza 31, Kraków"
ChIJ10TWJBJbFkcR3ND62xNF6-U,Moo Moo,50.06060489999999,19.940158,"Sienna 9, Kraków"
